Proteins	Accession	MW	EMT.RB3.01	EMT.RB3.02	EMT.RB3.03	EMT.RB4.01	EMT.RB4.02	EMT.RB4.03	Ctrl.RB3.01	Ctrl.RB3.02	Ctrl.RB3.03	Ctrl.RB4.01	Ctrl.RB4.02	Ctrl.RB4.03
Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens GN=TGFBI PE=1 SV=1	BGH3_HUMAN	75 kDa	550	567	462	572	486	416	209	186	166	191	201	190
Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4	FINC_HUMAN	263 kDa	377	398	366	422	386	376	292	269	247	293	289	275
Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2	FLNB_HUMAN	278 kDa	341	348	352	316	296	297	343	344	296	291	266	251
Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2	AL1A1_HUMAN	55 kDa	291	325	287	297	287	250	296	270	255	232	215	225
Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4	FLNA_HUMAN	281 kDa	340	365	361	313	330	308	265	273	229	218	211	194
Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2	ACTN4_HUMAN	105 kDa	291	302	281	300	281	272	279	278	232	267	251	223
Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	ENOA_HUMAN	47 kDa	217	216	198	246	198	188	319	301	231	411	282	250
Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3	TKT_HUMAN	68 kDa	155	172	162	159	170	158	212	193	188	199	182	173
L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2	LDHA_HUMAN	37 kDa	140	148	145	176	143	144	180	169	127	165	145	149
Metalloproteinase inhibitor 2 OS=Homo sapiens GN=TIMP2 PE=1 SV=2	TIMP2_HUMAN	24 kDa	221	224	214	247	205	198	97	77	81	102	106	90
Laminin subunit gamma-2 OS=Homo sapiens GN=LAMC2 PE=1 SV=2	LAMC2_HUMAN	131 kDa	246	255	228	293	251	260	27	32	24	13	16	19
Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=3	CO5A2_HUMAN	145 kDa	144	173	162	178	173	177	114	119	101	118	135	139
Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4	G6PI_HUMAN	63 kDa	102	116	112	122	117	117	183	161	137	135	164	148
Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4	ALBU_BOVIN	69 kDa	156	150	121	150	103	117	143	96	110	116	123	109
Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	HSP7C_HUMAN	71 kDa	125	136	132	134	124	123	179	162	162	134	130	121
Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2	TSP1_HUMAN	129 kDa	183	195	178	217	185	198	73	71	64	77	79	75
Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3	G3P_HUMAN	36 kDa	108	117	99	140	115	116	144	130	112	227	152	144
Calsyntenin-1 OS=Homo sapiens GN=CLSTN1 PE=1 SV=1	CSTN1_HUMAN	110 kDa	116	135	126	135	122	127	121	122	100	137	113	114
Aldo-keto reductase family 1 member B10 OS=Homo sapiens GN=AKR1B10 PE=1 SV=2	AK1BA_HUMAN	36 kDa	90	98	98	89	97	98	192	175	159	148	154	155
Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	ALDOA_HUMAN	39 kDa	112	122	114	109	111	111	166	155	125	137	132	110
Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3	PGK1_HUMAN	45 kDa	118	126	119	126	118	119	136	142	122	143	131	128
Nucleobindin-1 OS=Homo sapiens GN=NUCB1 PE=1 SV=4	NUCB1_HUMAN	54 kDa	133	126	115	125	135	123	156	147	118	144	148	136
Cathepsin L1 OS=Homo sapiens GN=CTSL1 PE=1 SV=2	CATL1_HUMAN	38 kDa	73	60	55	69	56	53	183	174	133	218	185	142
Insulin-like growth factor-binding protein 7 OS=Homo sapiens GN=IGFBP7 PE=1 SV=1	IBP7_HUMAN	29 kDa	150	160	167	168	155	162	113	105	100	120	112	111
Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM2 PE=1 SV=4	KPYM_HUMAN	58 kDa	159	157	135	146	139	133	141	139	120	110	106	104
Collagen alpha-2(IV) chain OS=Homo sapiens GN=COL4A2 PE=1 SV=4	CO4A2_HUMAN	168 kDa	199	214	188	205	210	196	40	46	33	51	52	45
Proactivator polypeptide OS=Homo sapiens GN=PSAP PE=1 SV=2	SAP_HUMAN	58 kDa	84	93	93	92	86	94	152	147	136	148	138	147
Insulin-like growth factor-binding protein 4 OS=Homo sapiens GN=IGFBP4 PE=1 SV=2	IBP4_HUMAN	28 kDa	95	108	101	88	86	89	129	120	108	119	116	110
Moesin OS=Homo sapiens GN=MSN PE=1 SV=3	MOES_HUMAN	68 kDa	121	147	133	133	129	134	114	113	97	82	92	91
Neuronal pentraxin-1 OS=Homo sapiens GN=NPTX1 PE=2 SV=2	NPTX1_HUMAN	47 kDa	193	181	134	229	225	138	36	31	30	40	41	41
Clusterin OS=Homo sapiens GN=CLU PE=1 SV=1	CLUS_HUMAN	52 kDa	78	88	88	80	70	78	204	166	152	132	133	124
Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1	ACTB_HUMAN	42 kDa	108	115	115	107	109	109	120	115	102	85	82	74
L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2	LDHB_HUMAN	37 kDa	96	94	82	104	96	95	138	127	118	124	115	113
Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2	PPIA_HUMAN	18 kDa	104	117	105	122	95	111	128	116	104	125	107	115
Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4	EF2_HUMAN	95 kDa	100	118	117	105	105	87	130	130	109	100	92	92
Amyloid beta A4 protein OS=Homo sapiens GN=APP PE=1 SV=3	A4_HUMAN	87 kDa	106	118	107	119	125	110	106	102	94	99	99	102
Laminin subunit gamma-1 OS=Homo sapiens GN=LAMC1 PE=1 SV=3	LAMC1_HUMAN	178 kDa	58	60	52	71	65	59	162	156	136	173	174	162
Laminin subunit alpha-5 OS=Homo sapiens GN=LAMA5 PE=1 SV=8	LAMA5_HUMAN	400 kDa	34	39	35	41	31	28	155	154	127	221	188	187
Laminin subunit beta-1 OS=Homo sapiens GN=LAMB1 PE=1 SV=2	LAMB1_HUMAN	198 kDa	58	57	45	67	66	59	146	141	114	159	163	155
Neuronal cell adhesion molecule OS=Homo sapiens GN=NRCAM PE=1 SV=3	NRCAM_HUMAN	144 kDa	97	106	91	106	96	98	118	95	89	110	103	101
Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3	TPIS_HUMAN	31 kDa	100	112	101	103	107	104	120	114	100	131	122	108
6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3	6PGD_HUMAN	53 kDa	67	82	79	74	64	69	134	124	101	122	111	105
Mucin-5AC (Fragments) OS=Homo sapiens GN=MUC5AC PE=1 SV=3	MUC5A_HUMAN	527 kDa	0	0	0	0	0	0	181	180	155	233	225	225
Aldo-keto reductase family 1 member C3 OS=Homo sapiens GN=AKR1C3 PE=1 SV=4	AK1C3_HUMAN	37 kDa	69	84	73	67	64	67	136	123	108	108	102	95
Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5	HS90A_HUMAN	85 kDa	80	84	79	62	55	58	150	139	117	74	79	72
Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4	VINC_HUMAN	124 kDa	98	112	112	96	103	102	82	92	70	71	61	62
Testican-1 OS=Homo sapiens GN=SPOCK1 PE=1 SV=1	TICN1_HUMAN	49 kDa	149	154	139	163	167	144	21	29	19	30	30	27
Cadherin-2 OS=Homo sapiens GN=CDH2 PE=1 SV=4	CADH2_HUMAN	100 kDa	125	136	137	143	130	141	36	36	31	44	40	38
Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3	PLEC_HUMAN	532 kDa	148	142	151	130	104	116	61	68	52	47	42	41
Agrin OS=Homo sapiens GN=AGRN PE=1 SV=4	AGRIN_HUMAN	215 kDa	50	52	49	83	58	65	108	100	90	163	136	153
Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5	HSP71_HUMAN	70 kDa	77	83	84	80	74	74	127	120	113	115	96	97
Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3	TRXR1_HUMAN	71 kDa	65	76	70	72	78	71	111	99	90	110	98	108
Metalloproteinase inhibitor 1 OS=Homo sapiens GN=TIMP1 PE=1 SV=1	TIMP1_HUMAN (+2)	23 kDa	91	93	84	102	86	91	95	71	85	91	85	73
Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4	HSP74_HUMAN	94 kDa	75	78	85	88	81	87	99	96	93	87	87	90
14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1	1433E_HUMAN	29 kDa	84	89	78	94	92	89	102	92	76	102	92	82
Follistatin-related protein 1 OS=Homo sapiens GN=FSTL1 PE=1 SV=1	FSTL1_HUMAN	35 kDa	91	97	95	104	93	94	77	70	63	81	68	69
Insulin-like growth factor-binding protein 6 OS=Homo sapiens GN=IGFBP6 PE=1 SV=1	IBP6_HUMAN	25 kDa	54	59	54	61	42	44	133	87	121	103	126	115
Insulin-like growth factor-binding protein 2 OS=Homo sapiens GN=IGFBP2 PE=1 SV=2	IBP2_HUMAN	35 kDa	79	79	75	83	77	76	93	88	84	98	100	81
Plasminogen activator inhibitor 1 OS=Homo sapiens GN=SERPINE1 PE=1 SV=1	PAI1_HUMAN	45 kDa	109	115	96	106	102	96	53	51	44	63	63	54
Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3	COF1_HUMAN	19 kDa	93	97	88	90	80	80	86	88	77	68	66	63
Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2	ACTN1_HUMAN	103 kDa	207	222	213	216	204	190	181	176	135	161	144	135
Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4	VIME_HUMAN	54 kDa	97	109	100	102	99	100	75	72	74	70	64	62
Osteopontin OS=Homo sapiens GN=SPP1 PE=1 SV=1	OSTP_HUMAN	35 kDa	89	84	77	73	62	61	109	91	88	100	104	87
Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2	ROA2_HUMAN	37 kDa	76	78	63	70	80	68	84	78	72	80	69	79
72 kDa type IV collagenase OS=Homo sapiens GN=MMP2 PE=1 SV=2	MMP2_HUMAN	74 kDa	129	136	125	143	136	127	5	4	3	8	7	5
Complement C5 OS=Homo sapiens GN=C5 PE=1 SV=4	CO5_HUMAN	188 kDa	0	0	0	0	0	0	145	138	125	138	115	118
Lysyl oxidase homolog 2 OS=Homo sapiens GN=LOXL2 PE=1 SV=1	LOXL2_HUMAN	87 kDa	78	82	74	91	89	81	46	46	47	61	56	55
Complement C1s subcomponent OS=Homo sapiens GN=C1S PE=1 SV=1	C1S_HUMAN	77 kDa	50	56	52	44	45	48	110	98	91	99	93	92
Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4	G6PD_HUMAN	59 kDa	57	63	56	54	53	47	92	101	79	68	66	62
Glia-derived nexin OS=Homo sapiens GN=SERPINE2 PE=1 SV=1	GDN_HUMAN	44 kDa	111	116	116	127	118	121	25	27	24	31	24	24
Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1	NDKB_HUMAN	17 kDa	57	74	69	65	70	65	78	79	68	63	69	68
Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5	ROA1_HUMAN	39 kDa	71	81	77	58	69	64	78	76	63	71	72	67
Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1	LMNA_HUMAN	74 kDa	77	73	69	71	68	65	84	79	68	80	70	66
Alpha-2-HS-glycoprotein OS=Bos taurus GN=AHSG PE=1 SV=2	FETUA_BOVIN	38 kDa	70	58	52	98	73	63	96	39	45	61	72	51
Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4	PDIA3_HUMAN	57 kDa	58	65	65	69	76	75	60	63	57	76	76	70
Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=1 SV=3	ALDR_HUMAN	36 kDa	48	51	48	37	46	49	92	89	75	64	77	67
78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	GRP78_HUMAN	72 kDa	59	56	63	70	62	64	88	89	77	87	80	80
Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7	K2C8_HUMAN	54 kDa	67	74	74	60	65	62	73	71	74	72	69	67
Gamma-glutamyl hydrolase OS=Homo sapiens GN=GGH PE=1 SV=2	GGH_HUMAN	36 kDa	56	60	55	60	57	52	71	76	55	79	69	69
Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2	PROF1_HUMAN	15 kDa	74	77	77	73	75	65	75	67	63	66	65	60
Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3	TAGL2_HUMAN	22 kDa	73	80	75	73	79	78	60	61	55	53	58	52
Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2	GDIB_HUMAN	51 kDa	71	71	67	65	69	63	71	73	54	70	66	59
Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4	PLST_HUMAN	71 kDa	62	69	71	66	60	63	72	74	49	64	57	49
SPARC OS=Homo sapiens GN=SPARC PE=1 SV=1	SPRC_HUMAN	35 kDa	75	87	81	89	81	84	33	39	27	45	46	44
Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	ANXA2_HUMAN	39 kDa	46	48	48	49	47	52	85	80	73	93	77	76
14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1	1433Z_HUMAN	28 kDa	80	81	78	83	82	78	80	74	68	79	68	68
Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1	PRDX1_HUMAN	22 kDa	65	71	68	60	57	58	74	63	61	60	61	52
Cysteine-rich motor neuron 1 protein OS=Homo sapiens GN=CRIM1 PE=1 SV=1	CRIM1_HUMAN	114 kDa	29	35	29	36	33	35	87	83	71	97	86	89
Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2	K1C18_HUMAN	48 kDa	56	62	60	64	49	54	72	58	62	51	43	38
Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3	THIO_HUMAN	12 kDa	52	62	48	41	55	41	77	76	48	57	52	44
Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1	CYTC_HUMAN	16 kDa	42	46	47	42	45	39	55	51	45	58	58	51
Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens GN=HSPG2 PE=1 SV=4	PGBM_HUMAN	469 kDa	33	30	31	48	42	42	49	62	48	103	102	88
ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	ACLY_HUMAN	121 kDa	60	68	58	63	59	55	66	71	58	47	47	49
Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1	CALR_HUMAN	48 kDa	48	52	49	62	56	51	56	40	47	44	49	49
Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3	PDIA1_HUMAN	57 kDa	41	37	41	46	46	42	63	62	54	61	62	60
Spectrin alpha chain, brain OS=Homo sapiens GN=SPTAN1 PE=1 SV=3	SPTA2_HUMAN	285 kDa	74	68	59	54	49	54	55	54	33	46	41	42
Pappalysin-1 OS=Homo sapiens GN=PAPPA PE=1 SV=3	PAPP1_HUMAN	181 kDa	58	50	48	71	68	68	41	52	35	49	48	39
Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1 PE=1 SV=2	BASP1_HUMAN	23 kDa	54	54	52	55	57	53	67	54	58	60	59	60
Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2	PGAM1_HUMAN	29 kDa	60	67	56	59	52	51	58	52	45	43	42	39
Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4	HS90B_HUMAN	83 kDa	77	90	85	72	72	67	110	114	99	63	56	60
Protein jagged-1 OS=Homo sapiens GN=JAG1 PE=1 SV=3	JAG1_HUMAN	134 kDa	70	68	74	80	71	81	24	32	19	29	21	28
14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1	1433T_HUMAN	28 kDa	56	60	58	61	51	57	60	60	54	58	49	54
